id,title,action,parent_id
1,Записаться на сделку,submenu,0
2,Задать вопрос,submenu,0
3,Посмотреть услуги банка,submenu,0
4,Сейф,submenu,1
5,Аккредитив,submenu,1
6,Электронная регистрация сделок с недвижимостью,submenu,1
7,Сейф + аккредитив,submenu,1
8,Сделки с цепочками,submenu,1
9,Другие услуги банка,submenu,1
10,Отправить документы на сделку,send_docs,1
11,Аренда переговорных комнат,submenu,1
12,(FAQ),faq_list,2
13,Иной вопрос,ask,2
14,Сейф,submenu,3
15,Сейф + зеркальный сейф,submenu,3
16,Сейф + зеркальный сейф + бесплатный сейф для риэлтора,submenu,3
17,Сейф + бесплатный сейф для риэлтора,submenu,3
18,Сейф,submenu,4
19,Сейф + зеркальный сейф,submenu,4
20,Сейф + зеркальный сейф + бесплатный сейф для риэлтора,submenu,4
21,Сейф + бесплатный сейф для риэлтора,submenu,4
22,Аккредитив до 1 млн. руб. - 500 руб.,submenu,5
23,Аккредитив свыше 1 млн. руб. - бесплатно,submenu,5
24,"1 продавец, 1 покупатель, 1 объект – 6500р",unknown,6
25,"1 продавец, 1 покупатель, 1 объект + доп. Продавец/покупатель – 6500р + 1500р",unknown,6
26,"1 продавец, 1 покупатель, 1 объект + доп. объект –   6500р + 4000р",unknown,6
27,Один из участников юр. лицо –  6500р. + 2000р,unknown,6
28,Аккредитив до 1 млн. руб. - 500 руб.,submenu,7
29,Аккредитив свыше 1 млн. руб. - бесплатно,submenu,7
30,Консультация специалиста,unknown,8
31,Пакетное предложение: до 10 сейфов (20 арендаторов) - 6500 руб.,unknown,8
32,"Услуги, связанные со сделкой",submenu,9
33,Прочее,submenu,9
34,Проводите ли вы сделку в Фора-Банке? Да,submenu,11
35,Проводите ли вы сделку в Фора-Банке? Нет,submenu,11
36,Сейф «Стандарт» 3500,service_selected,14
37,Сейф «Универсал» 4000,service_selected,14
38,Сейф «ВИП» 5000,service_selected,14
39,Сейф «Стандарт» 3500 + Сейф «Стандарт» 3500,service_selected,15
40,Сейф «Универсал» 4000 + Сейф «Стандарт» 3500,service_selected,15
41,Сейф «ВИП» 5000 + Сейф «Стандарт» 3500,service_selected,15
42,Сейф «Стандарт» 3500 + Сейф «Стандарт» 3500 + бесплатный сейф для риэлтора,service_selected,16
43,Сейф «Универсал» 4000+ Сейф «Стандарт» 3500 + бесплатный сейф для риэлтора,service_selected,16
44,Сейф «ВИП» 5000 + Сейф «Стандарт» 3500+ бесплатный сейф для риэлтора,service_selected,16
45,Сейф «Стандарт» 3500,service_selected,17
46,Сейф «Универсал» 4000,service_selected,17
47,Сейф «ВИП» 5000,service_selected,17
48,Сейф «Стандарт» 3500,service_selected,18
49,Сейф «Универсал» 4000,service_selected,18
50,Сейф «ВИП» 5000,service_selected,18
51,Сейф «Стандарт» 3500 + Сейф «Стандарт» 3500,service_selected,19
52,Сейф «Универсал» 4000 + Сейф «Стандарт» 3500,service_selected,19
53,Сейф «ВИП» 5000 + Сейф «Стандарт» 3500,service_selected,19
54,Сейф «Стандарт» 3500 + Сейф «Стандарт» 3500 + бесплатный сейф для риэлтора,service_selected,20
55,Сейф «Универсал» 4000+ Сейф «Стандарт» 3500 + бесплатный сейф для риэлтора,service_selected,20
56,Сейф «ВИП» 5000 + Сейф «Стандарт» 3500+ бесплатный сейф для риэлтора,service_selected,20
57,Сейф «Стандарт» 3500,service_selected,21
58,Сейф «Универсал» 4000,service_selected,21
59,Сейф «ВИП» 5000,service_selected,21
60,Аккредитив + Сейф «Стандарт» 2100,service_selected,22
61,Аккредитив + Сейф «Универсал» 2300,service_selected,22
62,Аккредитив + Сейф «ВИП» 2400,service_selected,22
63,Аккредитив + Сейф «Стандарт» 2100,service_selected,23
64,Аккредитив + Сейф «Универсал» 2300,service_selected,23
65,Аккредитив + Сейф «ВИП» 2400,service_selected,23
66,Аккредитив + Сейф «Стандарт» 2100,service_selected,28
67,Аккредитив + Сейф «Универсал» 2300,service_selected,28
68,Аккредитив + Сейф «ВИП» 2400,service_selected,28
69,Аккредитив + Сейф «Стандарт» 2100,service_selected,29
70,Аккредитив + Сейф «Универсал» 2300,service_selected,29
71,Аккредитив + Сейф «ВИП» 2400,service_selected,29
72,Хранение  ключа для сейфовой ячейки - 1000 рублей,unknown,32
73,"Проверка / пересчет денежных средств - рубли 0,1%, минимум 2000 руб., валюта 0,3%, минимум 50 у.е.",unknown,32
74,Доверенность по форме банка: к сейфовой ячейке - 500 рублей,unknown,32
75,Электронная регистрация,unknown,32
76,Индивидуальный сейф после сделки,consult,33
77,Вклад (сразу услуга Абсолютная гарантия),consult,33
78,Открытие текущего счета,consult,33
79,Карта с кешбэком,consult,33
80,Обмен валюты,consult,33
81,Монеты/золото,consult,33
82,Юрист-онлайн,consult,33
83,"Сертификат ""проверка здоровья""",consult,33
84,"Сертификат ""здоровый ребенок""",consult,33
85,При проведении сделки в ФОРА-Банке аренда переговорной комнаты бесплатна. Напишите ваш номер телефона и мы перезвоним вам в течение 30 минут,ask_contact,34
86,"350 руб./полчаса, 700 руб./час. Записать Вас? Да",ask_contact,35
87,"350 руб./полчаса, 700 руб./час. Записать Вас? Нет",goto other_services,35
